company,avg_yearly_change,avg_yearly_variance
AAK,-0.000291,0.000146
 ABB,0.000040,0.000101
 ACTI,0.000643,0.002839
 ADDT-B,0.000773,0.000359
 AF-B,-0.000450,0.000221
 AGRO,0.000372,0.001517
 ALFA,0.000160,0.000178
 ALIV-SDB,0.000603,0.000204
 AM1S,0.000531,0.000450
 ANOD-B,-0.001911,0.000467
 ANOT,0.001857,0.002449
 AOI,0.003413,0.000632
 AQ,-0.001340,0.000310
 ARISE,0.002318,0.000435
 ARP,-0.000084,0.000684
 ASSA-B,0.000686,0.000149
 ATCO-A,0.000344,0.000228
 ATCO-B,0.000459,0.000232
 ATRE,0.001085,0.000565
 ATRLJ-B,0.000850,0.000213
 AXFO,0.000441,0.000134
 AZA,-0.000453,0.000304
 AZN,-0.000087,0.000141
 BACTI-B,0.000544,0.001017
 BALD-B,-0.000531,0.000191
 BEGR,0.000494,0.000670
 BEIA-B,0.000714,0.000253
 BEIJ-B,0.000463,0.000369
 BELE,0.000540,0.000434
 BERG-B,0.000681,0.000312
 BESQ,0.000487,0.000452
 BETS-B,0.000438,0.000361
 BILI-A,-0.000218,0.000321
 BILL,0.000538,0.000212
 BINV,0.001522,0.000630
 BIOG-B,-0.000505,0.000366
 BIOT,-0.001810,0.000568
 BMAX,0.000588,0.000372
 BOL,-0.000052,0.000336
 BONG,-0.000400,0.000895
 BORG,0.000932,0.000319
 BOUL,-0.001204,0.000890
 BRG-B,0.000673,0.000478
 BTS-B,-0.000129,0.000291
 BUFAB,0.001023,0.000328
 BULTEN,0.000283,0.000339
 BURE,-0.000644,0.000291
 CAST,0.000371,0.000112
 CAT-A,-0.004692,0.001528
 CAT-B,0.000091,0.000376
 CATE,-0.001919,0.000162
 CBTT-B,-0.001866,0.000507
 CCC,-0.002486,0.000459
 CCOR-B,0.000695,0.000375
 CEVI,-0.002073,0.000675
 CLA-B,0.000425,0.000217
 CLAS-B,0.000729,0.000293
 COIC,-0.001365,0.000451
 CONS-B,0.000745,0.000588
 CORE-A,0.001960,0.000597
 CORE-PREF,-0.001130,0.000066
 CRAD-B,-0.000275,0.000749
 CRED-A,0.000276,0.000207
 CTT,-0.001829,0.000516
 DEDI,0.000208,0.000584
 DIOS,0.000826,0.000150
 DORO,-0.000688,0.000371
 DUNI,0.000998,0.000256
 DURC-B,-0.003072,0.001000
 EAST,-0.001628,0.000198
 EKTA-B,-0.000328,0.000304
 ELAN-B,-0.000651,0.000378
 ELEC,0.001964,0.000285
 ELOS-B,-0.001538,0.000414
 ELUX-A,-0.000409,0.000451
 ELUX-B,0.000371,0.000203
 EMPIR-B,-0.001156,0.000924
 ENDO,-0.000349,0.002342
 ENEA,-0.001502,0.000353
 ENQ,0.002763,0.001229
 ENRO-PREF,0.000634,0.001908
 ENRO,0.007320,0.003130
 EOLU-B,0.001650,0.000271
 EPIS-B,0.001997,0.001368
 ERIC-A,0.001270,0.000269
 ERIC-B,0.000366,0.000203
 ETX,0.003247,0.000629
 EWRK,0.000652,0.000248
 FABG,-0.000831,0.000154
 FAG,0.001288,0.000465
 FEEL,-0.000776,0.002013
 FING-B,-0.000179,0.001974
 FOI-B,-0.000712,0.000339
 FPAR-A,0.000940,0.000375
 FPAR-PREF,-0.000813,0.000114
 FPIP,-0.001644,0.000333
 G5EN,-0.000919,0.000864
 GETI-B,0.000080,0.000260
 GHP,-0.000369,0.000485
 GIGSEK,-0.000236,0.000052
 GRNG,0.000306,0.000394
 GUNN,0.000768,0.000229
 HANZA,-0.001813,0.000520
 HAV-B,0.000891,0.000154
 HEBA-B,0.000225,0.000202
 HEXA-B,0.000399,0.000187
 HIQ,0.000255,0.000252
 HLDX,0.000851,0.000334
 HM-B,0.000776,0.000209
 HMS,-0.001080,0.000456
 HNSA,-0.000202,0.001138
 HOLM-A,0.002231,0.000382
 HOLM-B,-0.000097,0.000169
 HPOL-B,0.000510,0.000258
 HTRO,0.001109,0.000820
 HUFV-A,-0.000064,0.000109
